plz1;plz2;Distanz_convert_in_km
42399;56581;80.7594
56862;93343;359.808
09390;82442;369.314
56745;68199;141.023
09548;42399;438.98
21227;90461;442.094
67829;95482;292.539
08648;75428;281.555
07952;40627;366.812
56307;88371;323.854
85128;96328;155.134
71696;79597;175.377
72364;82067;194.747
84032;86981;115.959
84030;89356;124.551
08267;76596;351.293
14715;77855;537.983
38319;86491;435.106
48527;86494;513.031
22303;53507;397.545
16567;95615;308.649
79108;88250;137.241
56316;67305;120.223
76476;84543;327.856
30855;74259;350.398
07589;12355;206.316
40231;91790;390.838
39245;54332;455.877
15757;79111;623.237
76448;91085;198.908
39240;47169;352.956
73111;83549;189.836
82205;99759;370.322
33165;72224;335.168
83362;86577;128.624
31595;73655;423.216
